Codigo;Nome;Categoria;TUSS;Valor Particular;Valor Unimed279;Valor UnimedCompleta;Preparo;Nome Original PDF
ANTCAMSD;Angio TC Arterial de Membro Superior Direito;Tomografia;;1.232,50;;;Jejum de 4 horas. Trazer exames anteriores, se tiver. Chegar com 15 minutos de antecedência.;ANGIO TC ARTERIAL DE MEMBRO SUPERIOR D
ANTCVMIE;Angio TC Venosa de Membro Inferior Esquerdo;Tomografia;;1.232,50;;;Jejum de 4 horas Trazer exames anteriores e pedido médico.;ANGIO TC VENOSA DE MEMBRO INFERIOR E
ANRMAOAB;Angiorressonância Aorta Abdominal;Ressonância;41101340;854,25;;135,31;Jejum de 4 horas. Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;ANGIORESSONANCIA AORTA ABDOMINAL
ANRMAOTO;Angiorressonância Aorta Torácica;Ressonância;41101332;854,25;;135,31;Jejum de 4 horas. Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;ANGIORESSONANCIA AORTA TORACICA
ANRMABRE;Angiorressonância Arterial Antebraço Esquerdo;Ressonância;;854,25;;;Jejum de 4 horas. Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;ANGIORESSONANCIA ARTERIAL ANTEBRACO ESQUERDO
ANRMARBD;Angiorressonância Arterial Braço Direito;Ressonância;;854,25;;;Jejum de 4 horas. Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;ANGIORESSONANCIA ARTERIAL BRACO DIREITO
ANRMARBE;Angiorressonância Arterial Braço Esquerdo;Ressonância;;854,25;;;Jejum de 4 horas. Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;ANGIORESSONANCIA ARTERIAL BRACO ESQUERDO
ANRMACXD;Angiorressonância Arterial Coxa Direita;Ressonância;41101553;854,25;;135,31;Jejum de 4 horas. Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;ANGIORESSONANCIA ARTERIAL COXA DIREITA
ANRMACXE;Angiorressonância Arterial Coxa Esquerda · Gerado Automaticamente;Ressonância;41101553;854,25;;135,31;JJejum de 4 horas. Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente. Página 1.;ANGIORESSONANCIA ARTERIAL COXA ESQUERDA · Gerado automaticamente
ANRMARCR;Angiorressonância Arterial Crânio;Ressonância;41101537;854,25;;135,31;Nao e necessário jejum Trazer exames anteriores, se tiver. Chegar com 30 minutos de antecedência. Sem adorno, sem tatuagem recente 30 dias, Sem cabelo úmido. Caso tenha marca-passo ou algum dispositivo metálico, necessário ser informado anteriormente.;ANGIORESSONANCIA ARTERIAL CRANIO
